Date,High,Low,Summary
24-07-20,28.0,25.0,Thundery showers and a moderate breeze
24-07-21,28.0,25.0,Thundery showers and a moderate breeze
24-07-22,28.0,26.0,Thundery showers and a moderate breeze
24-07-23,28.0,26.0,Thundery showers and a moderate breeze
24-07-24,29.0,26.0,Thundery showers and a moderate breeze
24-07-25,29.0,25.0,Thundery showers and a moderate breeze
24-07-26,29.0,25.0,Thundery showers and a moderate breeze
24-07-27,29.0,25.0,Thundery showers and a moderate breeze
24-07-28,29.0,25.0,Thundery showers and a moderate breeze
24-07-29,29.0,25.0,Thundery showers and a moderate breeze
24-07-30,29.0,25.0,Thundery showers and a moderate breeze
24-07-31,29.0,25.0,Thundery showers and a moderate breeze
24-08-01,29.0,25.0,Thundery showers and a moderate breeze
24-08-02,29.0,25.0,Thundery showers and a moderate breeze
